0,6569,7074,7579,8084,8589,90, MIN, MAX, Range,AVERAGE,MALE,FEMALE,DIV,CIVUNDIED,CIVUN,CIVUNDIV,SING,MAR,WID,G,MGBG,F,base-mov-prob,Num-friends
Cluster.1,0.12,0.44,0.28,0.08,0.04,0.04,65,86,65-86,74,0.21,0.79,0.13,0,0,0,0,0.63,0.25,0.88,0,0.13,0.16,8
Cluster.2,0.04,0.24,0.16,0.16,0.16,0.24,67,90,67-90,78.7,0.75,0.25,0.29,0,0,0,0.14,0,0.57,1,0,0,0.001,1
Cluster.3,0.148148148,0.222222222,0.222222222,0.111111111,0.111111111,0.185185185,67,92,67-92,77.2,0.54,0.46,0,0,0,0,0,1,0,1,0,0,0.01,4
Cluster.4,0,0.3,0.2,0.3,0.1,0.1,66,85,66-85,77.7,0.44,0.56,0,0,0,0,0,0,1,1,0,0,0.09,7
Cluster.5,0.3,0.4,0.1,0,0.1,0.1,67,84,67-84,73,0.78,0.22,0.33,0,0,0,0,0.33,0.33,0.67,0,0.33,0.09,2
Cluster.6,0.24,0.28,0.2,0.08,0.08,0.12,65,84,65-84,74,0.5,0.5,0.17,0,0,0,0,0.83,0,1,0,0,0.06,8
Cluster.7,0.24,0.2,0.36,0.12,0,0.08,66,86,66-86,73.7,0.61,0.39,0.13,0,0,0,0,0.88,0,1,0,0,0.06,7
Cluster.8,0.25,0.25,125,0.208333333,0.083333333,0.083333333,66,86,66-86,74.6,0.86,0.86,0.3,0,0,0,0.1,0.4,0.2,1,0,0,0.13,4
AgentenTyp9,0.35,0.19,0.19,0.19,0.0511,0.0311,65,102,65-102,75.1,0.4,0.6,0.35,0,0,0,0.35,0.1,0.2,0.77,0,0.23,0.23,4
AgentenTyp10,1,0,0,0,0,0,65,69,65-69,67,0.4,0.6,0.2,0,0,0,0.1,0.6,0.1,0.9,0,0.1,0.1,6
AgentenTyp11,1,0,0,0,0,0,65,69,65-69,67,0.6,0.4,0.2,0,0,0,0.1,0.6,0.1,0.9,0,0.1,0.07,5
